subset_size,saved_rows,temp_min_k,temp_max_k,unique_temp_values,flow_min,flow_max,subset_file,summary_file
100,100,373.15,573.15,100,0.5,4.95455,low_data_100.csv,low_data_100_summary.csv
125,125,373.15,573.15,100,0.5,5.0,low_data_125.csv,low_data_125_summary.csv
