grouping_mode,temp_group,bin_min_temp_k,bin_max_temp_k,available_rows,selected_rows,selected_min_flow,selected_max_flow
exact_temperature,492.342,492.342,492.342,100,10,0.5,5.0
exact_temperature,494.362,494.362,494.362,100,10,0.5,5.0
exact_temperature,496.382,496.382,496.382,100,10,0.5,5.0
exact_temperature,498.403,498.403,498.403,100,10,0.5,5.0
exact_temperature,500.423,500.423,500.423,100,10,0.5,5.0
exact_temperature,502.443,502.443,502.443,100,10,0.5,5.0
exact_temperature,504.463,504.463,504.463,100,10,0.5,5.0
exact_temperature,506.483,506.483,506.483,100,10,0.5,5.0
exact_temperature,508.504,508.504,508.504,100,10,0.5,5.0
exact_temperature,510.524,510.524,510.524,100,10,0.5,5.0
exact_temperature,512.544,512.544,512.544,100,10,0.5,5.0
exact_temperature,514.564,514.564,514.564,100,10,0.5,5.0
exact_temperature,516.584,516.584,516.584,100,10,0.5,5.0
exact_temperature,518.605,518.605,518.605,100,10,0.5,5.0
exact_temperature,520.625,520.625,520.625,100,10,0.5,5.0
exact_temperature,522.645,522.645,522.645,100,10,0.5,5.0
exact_temperature,524.665,524.665,524.665,100,10,0.5,5.0
exact_temperature,526.685,526.685,526.685,100,10,0.5,5.0
exact_temperature,528.706,528.706,528.706,100,10,0.5,5.0
exact_temperature,530.726,530.726,530.726,100,10,0.5,5.0
exact_temperature,532.746,532.746,532.746,100,10,0.5,5.0
exact_temperature,534.766,534.766,534.766,100,10,0.5,5.0
exact_temperature,536.786,536.786,536.786,100,10,0.5,5.0
exact_temperature,538.807,538.807,538.807,100,10,0.5,5.0
exact_temperature,540.827,540.827,540.827,100,10,0.5,5.0
exact_temperature,542.847,542.847,542.847,100,10,0.5,5.0
exact_temperature,544.867,544.867,544.867,100,10,0.5,5.0
exact_temperature,546.887,546.887,546.887,100,10,0.5,5.0
exact_temperature,548.908,548.908,548.908,100,10,0.5,5.0
exact_temperature,550.928,550.928,550.928,100,10,0.5,5.0
exact_temperature,552.948,552.948,552.948,100,10,0.5,5.0
exact_temperature,554.968,554.968,554.968,100,10,0.5,5.0
exact_temperature,556.988,556.988,556.988,100,10,0.5,5.0
exact_temperature,559.009,559.009,559.009,100,10,0.5,5.0
exact_temperature,561.029,561.029,561.029,100,10,0.5,5.0
exact_temperature,563.049,563.049,563.049,100,10,0.5,5.0
exact_temperature,565.069,565.069,565.069,100,10,0.5,5.0
exact_temperature,567.089,567.089,567.089,100,10,0.5,5.0
exact_temperature,569.11,569.11,569.11,100,10,0.5,5.0
exact_temperature,571.13,571.13,571.13,100,10,0.5,5.0
exact_temperature,573.15,573.15,573.15,100,10,0.5,5.0
