grouping_mode,temp_group,bin_min_temp_k,bin_max_temp_k,available_rows,selected_rows,selected_min_flow,selected_max_flow
exact_temperature,373.15,373.15,373.15,100,10,0.5,5.0
exact_temperature,375.17,375.17,375.17,100,10,0.5,5.0
exact_temperature,377.19,377.19,377.19,100,10,0.5,5.0
exact_temperature,379.211,379.211,379.211,100,10,0.5,5.0
exact_temperature,381.231,381.231,381.231,100,10,0.5,5.0
exact_temperature,383.251,383.251,383.251,100,10,0.5,5.0
exact_temperature,385.271,385.271,385.271,100,10,0.5,5.0
exact_temperature,387.291,387.291,387.291,100,10,0.5,5.0
exact_temperature,389.312,389.312,389.312,100,10,0.5,5.0
exact_temperature,391.332,391.332,391.332,100,10,0.5,5.0
exact_temperature,393.352,393.352,393.352,100,10,0.5,5.0
exact_temperature,395.372,395.372,395.372,100,10,0.5,5.0
exact_temperature,397.392,397.392,397.392,100,10,0.5,5.0
exact_temperature,399.413,399.413,399.413,100,10,0.5,5.0
exact_temperature,401.433,401.433,401.433,100,10,0.5,5.0
exact_temperature,403.453,403.453,403.453,100,10,0.5,5.0
exact_temperature,405.473,405.473,405.473,100,10,0.5,5.0
exact_temperature,407.493,407.493,407.493,100,10,0.5,5.0
exact_temperature,409.514,409.514,409.514,100,10,0.5,5.0
exact_temperature,411.534,411.534,411.534,100,10,0.5,5.0
exact_temperature,413.554,413.554,413.554,100,10,0.5,5.0
exact_temperature,415.574,415.574,415.574,100,10,0.5,5.0
exact_temperature,417.594,417.594,417.594,100,10,0.5,5.0
exact_temperature,419.615,419.615,419.615,100,10,0.5,5.0
exact_temperature,421.635,421.635,421.635,100,10,0.5,5.0
exact_temperature,423.655,423.655,423.655,100,10,0.5,5.0
exact_temperature,425.675,425.675,425.675,100,10,0.5,5.0
exact_temperature,427.695,427.695,427.695,100,10,0.5,5.0
exact_temperature,429.716,429.716,429.716,100,10,0.5,5.0
exact_temperature,431.736,431.736,431.736,100,10,0.5,5.0
exact_temperature,433.756,433.756,433.756,100,10,0.5,5.0
exact_temperature,435.776,435.776,435.776,100,10,0.5,5.0
exact_temperature,437.796,437.796,437.796,100,10,0.5,5.0
exact_temperature,439.817,439.817,439.817,100,10,0.5,5.0
exact_temperature,441.837,441.837,441.837,100,10,0.5,5.0
exact_temperature,443.857,443.857,443.857,100,10,0.5,5.0
exact_temperature,445.877,445.877,445.877,100,10,0.5,5.0
exact_temperature,447.897,447.897,447.897,100,10,0.5,5.0
exact_temperature,449.918,449.918,449.918,100,10,0.5,5.0
exact_temperature,451.938,451.938,451.938,100,10,0.5,5.0
exact_temperature,453.958,453.958,453.958,100,10,0.5,5.0
exact_temperature,455.978,455.978,455.978,100,10,0.5,5.0
exact_temperature,457.998,457.998,457.998,100,10,0.5,5.0
exact_temperature,460.019,460.019,460.019,100,10,0.5,5.0
exact_temperature,462.039,462.039,462.039,100,10,0.5,5.0
exact_temperature,464.059,464.059,464.059,100,10,0.5,5.0
exact_temperature,466.079,466.079,466.079,100,10,0.5,5.0
exact_temperature,468.099,468.099,468.099,100,10,0.5,5.0
exact_temperature,470.12,470.12,470.12,100,10,0.5,5.0
exact_temperature,472.14,472.14,472.14,100,10,0.5,5.0
exact_temperature,474.16,474.16,474.16,100,10,0.5,5.0
exact_temperature,476.18,476.18,476.18,100,10,0.5,5.0
exact_temperature,478.201,478.201,478.201,100,10,0.5,5.0
exact_temperature,480.221,480.221,480.221,100,10,0.5,5.0
exact_temperature,482.241,482.241,482.241,100,10,0.5,5.0
exact_temperature,484.261,484.261,484.261,100,10,0.5,5.0
exact_temperature,486.281,486.281,486.281,100,10,0.5,5.0
exact_temperature,488.302,488.302,488.302,100,10,0.5,5.0
exact_temperature,490.322,490.322,490.322,100,10,0.5,5.0
