subset,n_points,mean_energy_gap_kw,median_energy_gap_kw,max_energy_gap_kw,pct_gt_1kw,rmse_hot_k,rmse_cold_k
low_data_100,14,262.85307441102424,216.90913401676556,680.8126893407145,100.0,4.781289053613288,30.459155388805076
low_data_125,17,218.9731570693074,163.95380036621086,340.56663990722694,100.0,2.9494614615462775,16.67678107809808
